"Variable_name" "Class" "N°_of_observations" "Mean" "Estandar_dev" "Max_value" "Min_value" "Description"
"subject" "integer" 30 15.5 8.8034084308295 "30" 1 "ID of the volunteer of the experiment"
"time_Body_acceleration__mean_X_ LAYING" "numeric" 30 0.267662880289875 0.016109017430356 "0.2894756525" 0.22159824394 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration__mean_X_ SITTING" "numeric" 30 0.272863332172721 0.00769951036729191 "0.284674637291667" 0.24832674354 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING activity."
"time_Body_acceleration__mean_X_ STANDING" "numeric" 30 0.279196493698224 0.00184685261548894 "0.283497402948718" 0.276650300681818 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration__mean_X_ WALKING" "numeric" 30 0.276307093788563 0.00291820873490807 "0.283658868070175" 0.271821892881356 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  STANDING activity."
"time_Body_acceleration__mean_X_ WALKING_DOWNSTAIR" "numeric" 30 0.288030345340207 0.00818372404546845 "0.3014610196" 0.262688053871795 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  activity."
"time_Body_acceleration__mean_X_ WALKING_UPSTAIRS" "numeric" 30 0.261756308185177 0.00901232534714305 "0.277995411384615" 0.242118808925 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  SITTING activity."
"time_Body_acceleration__mean_Y_ LAYING" "numeric" 30 -0.01849577872842 0.00503741693585797 "-0.0102529170561404" -0.0405139534294 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration__mean_Y_ SITTING" "numeric" 30 -0.0125071643703296 0.0050469843695878 "-0.00130828765170213" -0.02701677698 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING activity."
"time_Body_acceleration__mean_Y_ STANDING" "numeric" 30 -0.0161005779104312 0.00251625168567918 "-0.00700418554517857" -0.0200454954022222 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration__mean_Y_ WALKING" "numeric" 30 -0.0179133377077548 0.00181530107502088 "-0.0148399475341667" -0.0225446400534483 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  STANDING activity."
"time_Body_acceleration__mean_Y_ WALKING_DOWNSTAIR" "numeric" 30 -0.0163187815508787 0.00432384280193252 "-0.00563047804309524" -0.0226614158361702 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  activity."
"time_Body_acceleration__mean_Y_ WALKING_UPSTAIRS" "numeric" 30 -0.0259175029368344 0.00485073563327142 "-0.0143654945011765" -0.0325269755153191 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  SITTING activity."
"time_Body_acceleration__mean_Z_ LAYING" "numeric" 30 -0.107462576755322 0.00739391454208944 "-0.0868333315509804" -0.133119570368421 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration__mean_Z_ SITTING" "numeric" 30 -0.105457701168682 0.00856844013560406 "-0.07537846886" -0.122464597625 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING activity."
"time_Body_acceleration__mean_Z_ STANDING" "numeric" 30 -0.106348181238774 0.00439476802831147 "-0.0952747481333333" -0.112172831947368 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration__mean_Z_ WALKING" "numeric" 30 -0.108861364617088 0.00431587917681562 "-0.0986247068969231" -0.122736673192308 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  STANDING activity."
"time_Body_acceleration__mean_Z_ WALKING_DOWNSTAIR" "numeric" 30 -0.106013673656169 0.00901294729107153 "-0.0892432745173913" -0.133695240660974 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  activity."
"time_Body_acceleration__mean_Z_ WALKING_UPSTAIRS" "numeric" 30 -0.120839397391082 0.0119444187268748 "-0.0973020020943396" -0.152513899520833 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  SITTING activity."
"time_Gravity_acceleration__mean_X_ LAYING" "numeric" 30 -0.374282055120193 0.152702707632702 "-0.134832031403509" -0.680043155060241 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  WALKING_UPSTAIRS activity."
"time_Gravity_acceleration__mean_X_ SITTING" "numeric" 30 0.882358079044425 0.0746825263728092 "0.969147824375" 0.581371509041096 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  WALKING activity."
"time_Gravity_acceleration__mean_X_ STANDING" "numeric" 30 0.942945847809112 0.0258883870373023 "0.974508732" 0.875319569 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  WALKING_DOWNSTAIR activity."
"time_Gravity_acceleration__mean_X_ WALKING" "numeric" 30 0.934797950859592 0.0342895678039204 "0.972624959821429" 0.802973961525424 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  STANDING activity."
"time_Gravity_acceleration__mean_X_ WALKING_DOWNSTAIR" "numeric" 30 0.925463139511647 0.0305016813324752 "0.958000491451613" 0.81629643 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  activity."
"time_Gravity_acceleration__mean_X_ WALKING_UPSTAIRS" "numeric" 30 0.873582073191628 0.0605970305982748 "0.946264314423077" 0.688256122222222 "Average of the means for time of signals captured by the gravity acceleration sensor on the X axis for the  SITTING activity."
"time_Gravity_acceleration__mean_Y_ LAYING" "numeric" 30 0.622281156264193 0.30201177029102 "0.956593814210526" -0.139297681034483 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  WALKING_UPSTAIRS activity."
"time_Gravity_acceleration__mean_Y_ SITTING" "numeric" 30 0.107369415755142 0.119059695165698 "0.360343534657534" -0.112596728361111 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  WALKING activity."
"time_Gravity_acceleration__mean_Y_ STANDING" "numeric" 30 -0.178457395998115 0.0950071927242864 "-0.010383816474" -0.370062696851852 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  WALKING_DOWNSTAIR activity."
"time_Gravity_acceleration__mean_Y_ WALKING" "numeric" 30 -0.195951036167192 0.0862038533744051 "-0.0314341738730769" -0.370984549423077 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  STANDING activity."
"time_Gravity_acceleration__mean_Y_ WALKING_DOWNSTAIR" "numeric" 30 -0.170025164953529 0.0851865587573867 "-0.0352304645104762" -0.356673289555556 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  activity."
"time_Gravity_acceleration__mean_Y_ WALKING_UPSTAIRS" "numeric" 30 -0.282493991813335 0.102839874720479 "-0.0377947824285714" -0.479894842941176 "Average of the means for time of signals captured by the gravity acceleration sensor on the Y axis for the  SITTING activity."
"time_Gravity_acceleration__mean_Z_ LAYING" "numeric" 30 0.550888747654194 0.292290932448388 "0.9578730416" -0.0369192905555556 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  WALKING_UPSTAIRS activity."
"time_Gravity_acceleration__mean_Z_ SITTING" "numeric" 30 0.152735080436388 0.136815979077613 "0.489126594657534" -0.135803881679687 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  WALKING activity."
"time_Gravity_acceleration__mean_Z_ STANDING" "numeric" 30 -0.00746095435254568 0.125608953968127 "0.201182106486486" -0.338174888666667 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  WALKING_DOWNSTAIR activity."
"time_Gravity_acceleration__mean_Z_ WALKING" "numeric" 30 -0.0567422718315609 0.135095556608764 "0.188416273486486" -0.422495268474576 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  STANDING activity."
"time_Gravity_acceleration__mean_Z_ WALKING_DOWNSTAIR" "numeric" 30 -0.0503075605455606 0.130902132114968 "0.21879595837931" -0.392555882222222 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  activity."
"time_Gravity_acceleration__mean_Z_ WALKING_UPSTAIRS" "numeric" 30 -0.144345815765763 0.167146486927384 "0.146633747092593" -0.49508872037037 "Average of the means for time of signals captured by the gravity acceleration sensor on the Z axis for the  SITTING activity."
"time_Body_acceleration_Jerk_mean_X_ LAYING" "numeric" 30 0.0823654451782254 0.00727500215030384 "0.098140384845098" 0.0718861195971014 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration_Jerk_mean_X_ SITTING" "numeric" 30 0.0758167051358805 0.00249682874323704 "0.0807687311935484" 0.0668519793125 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING activity."
"time_Body_acceleration_Jerk_mean_X_ STANDING" "numeric" 30 0.075081678455995 0.00148835473598278 "0.0809784390227273" 0.0721328379857143 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration_Jerk_mean_X_ WALKING" "numeric" 30 0.0767353761963168 0.0106968742991373 "0.0987319085964407" 0.045764401482 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  STANDING activity."
"time_Body_acceleration_Jerk_mean_X_ WALKING_DOWNSTAIR" "numeric" 30 0.0896425829985928 0.0213540448265614 "0.130193043809524" 0.0428631626711111 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  activity."
"time_Body_acceleration_Jerk_mean_X_ WALKING_UPSTAIRS" "numeric" 30 0.0771995715571264 0.0135556787757584 "0.106345193353878" 0.0426880986186441 "Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  SITTING activity."
"time_Body_acceleration_Jerk_mean_Y_ LAYING" "numeric" 30 0.0110463596595165 0.0073510702434417 "0.0284619311524658" -0.00831507059607843 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration_Jerk_mean_Y_ SITTING" "numeric" 30 0.00451146854511246 0.00682190021625778 "0.0148338232684722" -0.0108582171094 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING activity."
"time_Body_acceleration_Jerk_mean_Y_ STANDING" "numeric" 30 0.00869728883545548 0.0041542763699178 "0.0130699796066667" -0.00653015693773214 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration_Jerk_mean_Y_ WALKING" "numeric" 30 0.011141575812275 0.0136250760583583 "0.0356746339782609" -0.0210619558882353 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  STANDING activity."
"time_Body_acceleration_Jerk_mean_Y_ WALKING_DOWNSTAIR" "numeric" 30 0.000593437563321414 0.0192376981534168 "0.0375005150740741" -0.0386872111282051 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  activity."
"time_Body_acceleration_Jerk_mean_Y_ WALKING_UPSTAIRS" "numeric" 30 0.00940112939762357 0.0193293531718121 "0.056818586275" -0.0183131159944444 "Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  SITTING activity."
"time_Body_acceleration_Jerk_mean_Z_ LAYING" "numeric" 30 -0.0048993250011011 0.00939670356912975 "0.010834236361" -0.0323601505045098 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING_UPSTAIRS activity."
"time_Body_acceleration_Jerk_mean_Z_ SITTING" "numeric" 30 -0.00247181085823188 0.00775209424632662 "0.0162004141964583" -0.0232397245106122 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING activity."
"time_Body_acceleration_Jerk_mean_Z_ STANDING" "numeric" 30 -0.00476289117220748 0.00474374904429027 "0.00322153267648148" -0.0211889890567857 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  WALKING_DOWNSTAIR activity."
"time_Body_acceleration_Jerk_mean_Z_ WALKING" "numeric" 30 -0.00228314009816936 0.0119674588170048 "0.0243753334442623" -0.0327528722288462 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  STANDING activity."
"time_Body_acceleration_Jerk_mean_Z_ WALKING_DOWNSTAIR" "numeric" 30 -0.00859540057550244 0.0123898629871694 "0.0213397664446809" -0.0394356157631579 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  activity."
"time_Body_acceleration_Jerk_mean_Z_ WALKING_UPSTAIRS" "numeric" 30 -0.00670785198579359 0.024905761691324 "0.0380533591627451" -0.0674583919268293 "Average of the means for time of signals captured by the body acceleration sensor on the Z axis for the  SITTING activity."
"time_Body_gyroscope__mean_X_ LAYING" "numeric" 30 -0.0160011906163521 0.00949837137477759 "0.00535361206851852" -0.0312072730559566 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  WALKING_UPSTAIRS activity."
"time_Body_gyroscope__mean_X_ SITTING" "numeric" 30 -0.0392887728905441 0.00724739355836262 "-0.0198712820612471" -0.0547396987173913 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  WALKING activity."
"time_Body_gyroscope__mean_X_ STANDING" "numeric" 30 -0.0268660257240002 0.00309960108583936 "-0.0191731896359551" -0.0327397745133823 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  WALKING_DOWNSTAIR activity."
"time_Body_gyroscope__mean_X_ WALKING" "numeric" 30 -0.0345675964574061 0.0321743646490947 "0.0235088228254167" -0.105896207861111 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  STANDING activity."
"time_Body_gyroscope__mean_X_ WALKING_DOWNSTAIR" "numeric" 30 -0.0867863151840592 0.0560598402593139 "0.0677728390673913" -0.205775427307692 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  activity."
"time_Body_gyroscope__mean_X_ WALKING_UPSTAIRS" "numeric" 30 0.00888694145363098 0.0922820744172771 "0.19270447595122" -0.16396719 "Average of the means for time of signals captured by the body gyroscope sensor on the X axis for the  SITTING activity."
"time_Body_gyroscope__mean_Y_ LAYING" "numeric" 30 -0.0940399998005393 0.0247392500381235 "-0.041559989822807" -0.15890291983 "Average of the means for time of signals captured by the body gyroscope sensor on the Y axis for the  WALKING_UPSTAIRS activity."
