Variable_name,Class,N°_of_observations,Mean,Estandar_dev,Max_value,Min_value,Description
subject,character,30,NA,8.803408430829505,30,1,ID of the volunteer of the experiment
time_Body_acceleration__mean_X_ WALKING,numeric,6,0.27298088882717,0.004913018323778296,0.279177960301325,0.265696920582133,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING activity.
time_Body_acceleration__mean_X_ WALKING_UPSTAIRS,numeric,8,0.27394995371496267,0.004303145035743349,0.280179098426966,0.269685855146341,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  WALKING_UPSTAIRS activity.
time_Body_acceleration__mean_X_ WALKING_DOWNSTAIR,numeric,6,0.2751963363795039,0.003898009021871192,0.27821340725,0.268742494553279,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  activity.
time_Body_acceleration__mean_X_ SITTING,numeric,7,0.2756237844627737,0.003203741136751856,0.279241531908081,0.269723487105556,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  SITTING activity.
time_Body_acceleration__mean_X_ STANDING,numeric,7,0.2727704071500993,0.0033946492722902962,0.276177377784431,0.267565895829268,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  STANDING activity.
time_Body_acceleration__mean_X_ LAYING,numeric,6,0.27595442813841997,0.003914312058044844,0.279111521944767,0.268210689679487,Average of the means for time of signals captured by the body acceleration sensor on the X axis for the  LAYING activity.
time_Body_acceleration__mean_Y_ WALKING,numeric,6,-0.016751782987007316,0.0021256068583084603,-0.0133496817746907,-0.0191323183174834,Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING activity.
time_Body_acceleration__mean_Y_ WALKING_UPSTAIRS,numeric,8,-0.01795905492501742,0.00254553774944961,-0.0137410699333333,-0.0209466555412396,Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  WALKING_UPSTAIRS activity.
time_Body_acceleration__mean_Y_ WALKING_DOWNSTAIR,numeric,6,-0.016661215253449206,0.0017752276259846494,-0.0138932613754167,-0.0188857189162821,Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  activity.
time_Body_acceleration__mean_Y_ SITTING,numeric,7,-0.017750686023397213,5.58537597182568e-4,-0.0168623073762273,-0.0184861388459702,Average of the means for time of signals captured by the body acceleration sensor on the Y axis for the  SITTING activity.
